ticker	company_name	sector	industry	general_description	customers	products_services	hq_location	exchange	country	logo_url
ZG	Zillow Group Inc.	Communication Services	Interactive Media	Online real estate marketplace	Home buyers and sellers	"Zillow platform, Rental listings, Home loans"	"Seattle, Washington"	NASDAQ	USA	https://logo.clearbit.com/zillow.com
ABNB	Airbnb Inc.	Consumer Discretionary	Hotels & Lodging	Online marketplace for lodging	Travelers and hosts	"Home rentals, Experiences, Long-term stays"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/airbnb.com
UBER	Uber Technologies Inc.	Industrials	Transportation	Ride-hailing and delivery platform	Consumers	"Rideshare, Food delivery, Freight"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/uber.com
LYFT	Lyft Inc.	Industrials	Transportation	Ride-hailing service	Consumers	"Rideshare, Bike share, Scooter share"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/lyft.com
DASH	DoorDash Inc.	Consumer Discretionary	Restaurants	Food delivery platform	Consumers and restaurants	"Food delivery, Convenience delivery, Logistics"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/doordash.com
EXPE	Expedia Group Inc.	Consumer Discretionary	Hotels & Lodging	Online travel booking	Travelers	"Hotel bookings, Flights, Car rentals, Vacation packages"	"Seattle, Washington"	NASDAQ	USA	https://logo.clearbit.com/expedia.com
BKNG	Booking Holdings Inc.	Consumer Discretionary	Hotels & Lodging	Online travel reservation services	Travelers	"Booking.com, Priceline, Kayak, Agoda"	"Norwalk, Connecticut"	NASDAQ	USA	https://logo.clearbit.com/booking.com
DAL	Delta Air Lines Inc.	Industrials	Airlines	Commercial airline	Air travelers	"Domestic flights, International flights, Cargo"	"Atlanta, Georgia"	NYSE	USA	https://logo.clearbit.com/delta.com
UAL	United Airlines Holdings	Industrials	Airlines	Commercial airline	Air travelers	"Domestic flights, International flights, Cargo"	"Chicago, Illinois"	NASDAQ	USA	https://logo.clearbit.com/united.com
AAL	American Airlines Group	Industrials	Airlines	Commercial airline	Air travelers	"Domestic flights, International flights, Cargo"	"Fort Worth, Texas"	NASDAQ	USA	https://logo.clearbit.com/aa.com
LUV	Southwest Airlines Co.	Industrials	Airlines	Low-cost airline	Air travelers	"Domestic flights, Point-to-point service"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/southwest.com
WMT	Walmart Inc.	Consumer Staples	Retail	Multinational retail corporation	Consumers	"Grocery, General merchandise, E-commerce"	"Bentonville, Arkansas"	NYSE	USA	https://logo.clearbit.com/walmart.com
TGT	Target Corporation	Consumer Discretionary	Retail	General merchandise retailer	Consumers	"Clothing, Electronics, Home goods, Grocery"	"Minneapolis, Minnesota"	NYSE	USA	https://logo.clearbit.com/target.com
COST	Costco Wholesale Corporation	Consumer Staples	Retail	Membership warehouse club	Consumers and businesses	"Bulk merchandise, Gas stations, Pharmacy"	"Issaquah, Washington"	NASDAQ	USA	https://logo.clearbit.com/costco.com
HD	Home Depot Inc.	Consumer Discretionary	Retail	Home improvement retailer	Consumers and professionals	"Tools, Hardware, Building materials, Garden"	"Atlanta, Georgia"	NYSE	USA	https://logo.clearbit.com/homedepot.com
LOW	Lowe's Companies Inc.	Consumer Discretionary	Retail	Home improvement retailer	Consumers and professionals	"Appliances, Tools, Hardware, Lumber"	"Mooresville, North Carolina"	NYSE	USA	https://logo.clearbit.com/lowes.com
TJX	TJX Companies Inc.	Consumer Discretionary	Retail	Off-price apparel retailer	Consumers	"T.J. Maxx, Marshalls, HomeGoods, International"	"Framingham, Massachusetts"	NYSE	USA	https://logo.clearbit.com/tjx.com
NKE	Nike Inc.	Consumer Discretionary	Apparel & Footwear	Athletic footwear and apparel	Athletes and consumers	"Athletic shoes, Apparel, Equipment, Digital apps"	"Beaverton, Oregon"	NYSE	USA	https://logo.clearbit.com/nike.com
LULU	Lululemon Athletica	Consumer Discretionary	Apparel & Footwear	Athletic apparel	Active consumers	"Yoga wear, Running gear, Accessories"	"Vancouver, Canada"	NASDAQ	Canada	https://logo.clearbit.com/lululemon.com
ULTA	Ulta Beauty Inc.	Consumer Discretionary	Retail	Beauty specialty retailer	Beauty consumers	"Cosmetics, Skincare, Haircare, Fragrance"	"Bolingbrook, Illinois"	NASDAQ	USA	https://logo.clearbit.com/ulta.com
BBY	Best Buy Co Inc.	Consumer Discretionary	Retail	Consumer electronics retailer	Consumers	"Electronics, Appliances, Gaming, Tech services"	"Richfield, Minnesota"	NYSE	USA	https://logo.clearbit.com/bestbuy.com
SBUX	Starbucks Corporation	Consumer Discretionary	Restaurants	Coffee shop chain	Coffee consumers	"Coffee, Tea, Food, Merchandise"	"Seattle, Washington"	NASDAQ	USA	https://logo.clearbit.com/starbucks.com
MCD	McDonald's Corporation	Consumer Discretionary	Restaurants	Fast food restaurant chain	Quick service diners	"Burgers, Fries, Breakfast, McCafe"	"Chicago, Illinois"	NYSE	USA	https://logo.clearbit.com/mcdonalds.com
YUM	Yum! Brands Inc.	Consumer Discretionary	Restaurants	Restaurant franchise company	Quick service diners	"KFC, Pizza Hut, Taco Bell"	"Louisville, Kentucky"	NYSE	USA	https://logo.clearbit.com/yum.com
CMG	Chipotle Mexican Grill	Consumer Discretionary	Restaurants	Fast-casual restaurant chain	Health-conscious diners	"Burritos, Bowls, Tacos, Salads"	"Newport Beach, California"	NYSE	USA	https://logo.clearbit.com/chipotle.com
QSR	Restaurant Brands International	Consumer Discretionary	Restaurants	Quick service restaurant company	Quick service diners	"Burger King, Tim Hortons, Popeyes"	"Toronto, Canada"	NYSE	Canada	https://logo.clearbit.com/rbi.com
DPZ	Domino's Pizza Inc.	Consumer Discretionary	Restaurants	Pizza delivery chain	Pizza consumers	"Pizza delivery, Carryout, Digital ordering"	"Ann Arbor, Michigan"	NYSE	USA	https://logo.clearbit.com/dominos.com
PEP	PepsiCo Inc.	Consumer Staples	Food & Beverages	Food and beverage company	Global consumers	"Pepsi, Frito-Lay, Quaker, Gatorade"	"Purchase, New York"	NASDAQ	USA	https://logo.clearbit.com/pepsi.com
KO	Coca-Cola Company	Consumer Staples	Food & Beverages	Beverage company	Global consumers	"Coca-Cola, Sprite, Fanta, Dasani"	"Atlanta, Georgia"	NYSE	USA	https://logo.clearbit.com/coca-cola.com
MDLZ	Mondelez International	Consumer Staples	Food & Beverages	Snack food company	Global consumers	"Oreo, Cadbury, Trident, Ritz"	"Chicago, Illinois"	NASDAQ	USA	https://logo.clearbit.com/mondelezinternational.com
GIS	General Mills Inc.	Consumer Staples	Food & Beverages	Food company	Global consumers	"Cheerios, Betty Crocker, Haagen-Dazs, Yoplait"	"Minneapolis, Minnesota"	NYSE	USA	https://logo.clearbit.com/generalmills.com
K	Kellogg Company	Consumer Staples	Food & Beverages	Food company	Global consumers	"Kelloggs cereals, Pringles, Eggo, Pop-Tarts"	"Battle Creek, Michigan"	NYSE	USA	https://logo.clearbit.com/kelloggs.com
CPB	Campbell Soup Company	Consumer Staples	Food & Beverages	Food company	Global consumers	"Campbells soup, Goldfish, Pepperidge Farm"	"Camden, New Jersey"	NYSE	USA	https://logo.clearbit.com/campbellsoup.com
SJM	J.M. Smucker Company	Consumer Staples	Food & Beverages	Food company	Global consumers	"Jif, Folgers, Smuckers, Milk-Bone"	"Orrville, Ohio"	NYSE	USA	https://logo.clearbit.com/jmsmucker.com
CAG	Conagra Brands Inc.	Consumer Staples	Food & Beverages	Food company	Global consumers	"Hunt's, Marie Callender's, Healthy Choice"	"Chicago, Illinois"	NYSE	USA	https://logo.clearbit.com/conagrabrands.com
HSY	Hershey Company	Consumer Staples	Food & Beverages	Chocolate and confectionery	Global consumers	"Hershey's, Kisses, Reese's, Kit Kat"	"Hershey, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/thehersheycompany.com
MKC	McCormick & Company	Consumer Staples	Food & Beverages	Spices and seasonings	Consumers and foodservice	"Spices, Seasonings, Flavor solutions"	"Hunt Valley, Maryland"	NYSE	USA	https://logo.clearbit.com/mccormick.com
PG	Procter & Gamble Co.	Consumer Staples	Personal Products	Consumer goods company	Global consumers	"Tide, Pampers, Gillette, Crest"	"Cincinnati, Ohio"	NYSE	USA	https://logo.clearbit.com/pg.com
UL	Unilever PLC	Consumer Staples	Personal Products	Consumer goods company	Global consumers	"Dove, Hellmanns, Knorr, Lipton"	"London, United Kingdom"	NYSE	United Kingdom	https://logo.clearbit.com/unilever.com
CL	Colgate-Palmolive Company	Consumer Staples	Personal Products	Consumer products	Global consumers	"Colgate, Palmolive, Speed Stick, Ajax"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/colgatepalmolive.com
KMB	Kimberly-Clark Corporation	Consumer Staples	Personal Products	Personal care products	Global consumers	"Kleenex, Huggies, Scott, Kotex"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/kimberly-clark.com
EL	Estee Lauder Companies	Consumer Staples	Personal Products	Cosmetics and skincare	Global consumers	"Estee Lauder, MAC, Clinique, Origins"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/esteelauder.com
CLX	Clorox Company	Consumer Staples	Personal Products	Consumer products	Global consumers	"Clorox bleach, Pine-Sol, Glad, Brita"	"Oakland, California"	NYSE	USA	https://logo.clearbit.com/clorox.com
KR	Kroger Co.	Consumer Staples	Retail	Grocery retailer	Consumers	"Grocery stores, Pharmacies, Fuel centers"	"Cincinnati, Ohio"	NYSE	USA	https://logo.clearbit.com/kroger.com
SYY	Sysco Corporation	Consumer Staples	Food Distribution	Food service distributor	Restaurants and institutions	"Food distribution, Kitchen equipment, Services"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/sysco.com
DLTR	Dollar Tree Inc.	Consumer Staples	Retail	Discount retailer	Value-conscious consumers	"Dollar Tree stores, Family Dollar stores"	"Chesapeake, Virginia"	NASDAQ	USA	https://logo.clearbit.com/dollartree.com
DG	Dollar General Corporation	Consumer Staples	Retail	Discount retailer	Value-conscious consumers	"Convenience retail, Household essentials"	"Goodlettsville, Tennessee"	NYSE	USA	https://logo.clearbit.com/dollargeneral.com
CAT	Caterpillar Inc.	Industrials	Construction & Engineering	Construction and mining equipment	Construction and mining companies	"Excavators, Bulldozers, Mining trucks, Engines"	"Deerfield, Illinois"	NYSE	USA	https://logo.clearbit.com/caterpillar.com
DE	Deere & Company	Industrials	Construction & Engineering	Agricultural and construction machinery	Farmers and contractors	"Tractors, Harvesters, Construction equipment"	"Moline, Illinois"	NYSE	USA	https://logo.clearbit.com/deere.com
EMR	Emerson Electric Co.	Industrials	Construction & Engineering	Industrial automation	Manufacturing companies	"Automation solutions, Climate technologies"	"Ferguson, Missouri"	NYSE	USA	https://logo.clearbit.com/emerson.com
HON	Honeywell International	Industrials	Construction & Engineering	Diversified technology and manufacturing	Various industries	"Aerospace, Building technologies, Safety"	"Charlotte, North Carolina"	NYSE	USA	https://logo.clearbit.com/honeywell.com
MMM	3M Company	Industrials	Construction & Engineering	Diversified technology company	Various industries	"Adhesives, Electronics, Healthcare, Safety"	"Saint Paul, Minnesota"	NYSE	USA	https://logo.clearbit.com/3m.com
GE	General Electric Company	Industrials	Construction & Engineering	Multinational conglomerate	Various industries	"Aviation, Healthcare, Renewable energy, Power"	"Boston, Massachusetts"	NYSE	USA	https://logo.clearbit.com/ge.com
ITW	Illinois Tool Works	Industrials	Construction & Engineering	Diversified manufacturer	Various industries	"Automotive, Construction, Food equipment"	"Glenview, Illinois"	NYSE	USA	https://logo.clearbit.com/itw.com
BA	Boeing Company	Industrials	Aerospace & Defense	Aerospace manufacturer	Airlines and governments	"Commercial aircraft, Defense systems, Space"	"Chicago, Illinois"	NYSE	USA	https://logo.clearbit.com/boeing.com
LMT	Lockheed Martin Corporation	Industrials	Aerospace & Defense	Aerospace and defense contractor	Government and military	"Fighter jets, Missiles, Space systems"	"Bethesda, Maryland"	NYSE	USA	https://logo.clearbit.com/lockheedmartin.com
RTX	Raytheon Technologies	Industrials	Aerospace & Defense	Aerospace and defense	Airlines and governments	"Aircraft engines, Defense systems, Avionics"	"Waltham, Massachusetts"	NYSE	USA	https://logo.clearbit.com/rtx.com
NOC	Northrop Grumman	Industrials	Aerospace & Defense	Aerospace and defense technology	Government and military	"Military aircraft, Space systems, Cybersecurity"	"Falls Church, Virginia"	NYSE	USA	https://logo.clearbit.com/northropgrumman.com
GD	General Dynamics	Industrials	Aerospace & Defense	Aerospace and defense contractor	Government and military	"Combat vehicles, Ships, Aircraft, IT services"	"Reston, Virginia"	NYSE	USA	https://logo.clearbit.com/generaldynamics.com
LHX	L3Harris Technologies	Industrials	Aerospace & Defense	Defense technology	Government and military	"Communication systems, Electronic warfare"	"Melbourne, Florida"	NYSE	USA	https://logo.clearbit.com/l3harris.com
HWM	Howmet Aerospace Inc.	Industrials	Aerospace & Defense	Aerospace materials	Aerospace manufacturers	"Engine components, Fasteners, Structures"	"Pittsburgh, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/howmet.com
UPS	United Parcel Service	Industrials	Transportation	Package delivery and logistics	Businesses and consumers	"Package delivery, Logistics, Supply chain"	"Atlanta, Georgia"	NYSE	USA	https://logo.clearbit.com/ups.com
FDX	FedEx Corporation	Industrials	Transportation	Transportation and logistics	Businesses and consumers	"Express delivery, Ground, Freight, Logistics"	"Memphis, Tennessee"	NYSE	USA	https://logo.clearbit.com/fedex.com
XOM	Exxon Mobil Corporation	Energy	Oil & Gas	Integrated oil and gas company	Global energy markets	"Crude oil, Natural gas, Petrochemicals, Refining"	"Irving, Texas"	NYSE	USA	https://logo.clearbit.com/exxonmobil.com
CVX	Chevron Corporation	Energy	Oil & Gas	Integrated oil and gas company	Global energy markets	"Oil exploration, Refining, Marketing, Chemicals"	"San Ramon, California"	NYSE	USA	https://logo.clearbit.com/chevron.com
COP	ConocoPhillips	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Oil production, Natural gas, LNG"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/conocophillips.com
EOG	EOG Resources Inc.	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Shale oil, Natural gas production"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/eogresources.com
SLB	Schlumberger Limited	Energy	Oil & Gas	Oilfield services	Oil and gas companies	"Drilling, Reservoir characterization, Production"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/slb.com
HAL	Halliburton Company	Energy	Oil & Gas	Oilfield services	Oil and gas companies	"Drilling, Completion, Production"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/halliburton.com
BKR	Baker Hughes Company	Energy	Oil & Gas	Oilfield services and equipment	Oil and gas companies	"Drilling, Completions, Artificial lift"	"Houston, Texas"	NASDAQ	USA	https://logo.clearbit.com/bakerhughes.com
OXY	Occidental Petroleum	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Oil production, Carbon capture, Chemicals"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/oxy.com
DVN	Devon Energy Corporation	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Onshore oil, Natural gas production"	"Oklahoma City, Oklahoma"	NYSE	USA	https://logo.clearbit.com/devonenergy.com
FANG	Diamondback Energy Inc.	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Unconventional drilling, Midstream"	"Midland, Texas"	NASDAQ	USA	https://logo.clearbit.com/diamondbackenergy.com
NEE	NextEra Energy Inc.	Utilities	Electric Utilities	Electric utility and clean energy	Residential and business customers	"Electricity, Wind power, Solar power"	"Juno Beach, Florida"	NYSE	USA	https://logo.clearbit.com/nexteraenergy.com
